structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean
9020,91,139427981,BS,CnF,"cuneiform nucleus, left",113767896,96,130,130,-5,-39,-21,14380,NA,NA,NA
9020,91,139427965,BS,CnF,"cuneiform nucleus, left",113748044,95,125,131,-4,-40,-16,14380,NA,NA,NA
9492,91,139428123,BS,Pn,"pontine nuclei, left",113833748,96,129,112,-5,-21,-20,14380,NA,NA,NA
9456,91,139428091,BS,MBRa,"midbrain raphe nuclei, left",114492874,91,125,127,0,-36,-16,14380,NA,NA,NA
9074,91,139428059,BS,SNC,"substantia nigra, pars compacta, left",114115330,93,128,120,-2,-29,-19,14380,9072,VTA_SN,substantia nigra
9067,91,139428043,BS,VTA,"ventral tegmental area, left",114120385,92,127,121,-1,-30,-18,14380,9067,VTA_SN,"ventral tegmental area, left"
4257,9,127687542,CX,CA4,"CA4 field, left",113670034,119,126,109,-28,-18,-17,14380,12895,HIPP,CA4 field
4258,9,127687510,CX,DG,"dentate gyrus, left",1408739,116,126,109,-25,-18,-17,14380,NA,NA,NA
4251,9,127687621,CX,S,"subiculum, left",1408735,115,129,109,-24,-18,-20,14380,12896,HIPP,subiculum
4432,8,127687857,CX,ILr,"rostral group of intralaminar nuclei, left",112380306,99,100,98,-8,-7,9,14380,12929,THAL,rostral group of intralaminar nuclei
4534,8,127687981,CX,Pa,"paraventricular nuclei, left of thalamus, left",111334757,100,104,98,-9,-7,5,14380,NA,NA,NA
4440,10,139379746,CX,LGd,"dorsal lateral geniculate nucleus, left",111350063,117,111,117,-26,-26,-2,14380,12922,THAL,dorsal lateral geneiculate nucleus
4444,10,139379912,CX,MG,"medial geniculate complex, left",111353030,109,111,117,-18,-26,-2,14380,12926,THAL,medial geniculate complex
4506,10,139379864,CX,R,"reticular nucleus of thalamus, left",113186800,114,97,117,-23,-26,12,14380,4504,THAL,ventral thalamus
4432,10,139379832,CX,ILr,"rostral group of intralaminar nuclei, left",112946263,100,90,117,-9,-26,19,14380,12929,THAL,rostral group of intralaminar nuclei
4428,10,139379808,CX,DTP,"posterior group of nuclei, left",112953257,105,102,117,-14,-26,7,14380,12928,THAL,posterior group of nuclei
4322,10,139379744,CX,Cl,"claustrum, left",113171144,128,98,118,-37,-27,11,14380,NA,NA,NA
4282,10,139379910,CX,BCd,"body of caudate nucleus, left",111353065,113,87,117,-22,-26,22,14380,12899,STR,body of the caudate nucleus
4506,10,139379748,CX,R,"reticular nucleus of thalamus, left",113979443,122,112,117,-31,-26,-3,14380,4504,THAL,ventral thalamus
4322,10,139379914,CX,Cl,"claustrum, left",113250881,132,108,117,-41,-26,1,14380,NA,NA,NA
4258,10,139379866,CX,DG,"dentate gyrus, left",1406549,121,119,117,-30,-26,-10,14380,NA,NA,NA
4256,10,139379834,CX,CA3,"CA3 field, left",113185243,122,117,117,-31,-26,-8,14380,12894,HIPP,CA3 field
4254,10,139379794,CX,CA1,"CA1 field, left",113185244,124,121,117,-33,-26,-12,14380,12892,HIPP,CA1 field
4251,10,139379778,CX,S,"subiculum, left",113185245,114,119,117,-23,-26,-10,14380,12896,HIPP,subiculum
9016,9,139379878,CX,ICjl,"interstitial nucleus of Cajal, left",111938332,93,113,109,-2,-18,-4,14380,NA,NA,NA
9048,9,139379846,CX,Dk,"nucleus of Darkschewitsch, left",113817850,93,112,109,-2,-18,-3,14380,NA,NA,NA
9450,9,139379830,CX,EW,"Edinger-Westphal nucleus, left",113819090,92,116,109,-1,-18,-7,14380,NA,NA,NA
